class,subclass,dataset,text,minimalpair,length in words,word length,length in characters,average concreteness,average AoA,Flan-T5-xxl perplexity,GPT2-xl perplexity,GPT2-base perplexity,Flan-T5-base perplexity,XLNet-base-cased perplexity,OPT-125m perplexity,XLNet-large-cased perplexity,OPT-13b perplexity,OPT-13b recognition,Flan-T5-xxl recognition,GPT2-xl recognition,XLNet-large-cased recognition,Average word frequency
3,Referential ambiguity,WSC273,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.",0,27,3.851851852,130,2.700607504,7.46152962,28.15864424,27.00319481,30.42578316,31.11994851,4.258824825,48.48128767,4.716800213,32.11348996,Correct-A,Incorrect-B,Correct-A,Correct-A,0.057440663
3,Referential ambiguity,WSC273,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.",1,27,3.851851852,130,2.740977875,7.192588988,27.33856518,28.36723137,32.09220505,32.39503502,4.129234791,52.58577973,4.142528057,28.07927467,Correct-A,Incorrect-B,Incorrect-B,Incorrect-B,0.058409498
3,Referential ambiguity,WSC273,"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.",2,22,4.818181818,127,2.625684901,7.127341164,20.05845079,30.99667931,30.15916634,27.2899254,3.996633053,47.23493523,8.509501457,45.73407079,Incorrect-A,Incorrect-B,Incorrect-A,Incorrect-Neither,0.110906214
3,Referential ambiguity,WSC273,"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.",3,22,4.863636364,128,2.575230356,7.127341164,21.268455,32.67655563,31.48810196,28.97598768,3.773835421,48.44067537,23.13704872,44.6463188,Correct-A,Incorrect-A,Incorrect-B,Correct-A,0.110906933
3,Referential ambiguity,WSC273,"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.",4,18,4.111111111,91,2.487851933,7.047963193,35.16060471,39.66331863,69.85530853,43.91247416,6.255332947,77.96517144,7.310778141,55.63548624,Incorrect-A,Incorrect-B,Incorrect-Neither,Incorrect-Neither,0.092337116
3,Referential ambiguity,WSC273,"Although they ran at about the same speed, Sue beat Sally because she had such a good start.",5,18,4.166666667,92,2.48562971,7.090185415,28.91374764,36.34929276,62.8423233,40.92370581,5.377557755,72.60343576,7.291210175,47.47664172,Correct-A,Incorrect-B,Correct-A,Correct-A,0.09298714
3,Referential ambiguity,WSC273,"Ann asked Mary what time the library closes, because she had forgotten.",6,12,5.0,71,2.735944565,7.663327534,47.41527414,66.97235107,118.1928253,74.26002918,9.408801079,183.9401764,10.08245945,58.13625271,Incorrect-A,Correct-B,Correct-A,Incorrect-Neither,0.094342567
3,Referential ambiguity,WSC273,"Ann asked Mary what time the library closes, but she had forgotten.",7,12,4.666666667,67,2.804277899,7.676648784,37.05136393,53.93995285,125.0093689,63.35885514,10.0042305,166.7361528,12.69992924,68.86326681,Correct-A,Incorrect-B,Correct-A,Incorrect-Neither,0.096966833
3,Referential ambiguity,WSC273,Anna did a lot better than her good friend Lucy on the test because she had studied so hard.,8,19,3.894736842,92,2.466778993,6.591904284,32.39308101,29.46504021,38.02008057,31.28085588,8.361945152,67.11871117,9.207765579,40.60198231,Incorrect-A,Incorrect-A,Correct-B,Incorrect-A,0.090647443
3,Referential ambiguity,WSC273,Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.,9,19,3.842105263,91,2.45098952,6.906775709,42.34807825,51.103302,49.82282639,35.64923214,8.289733887,83.2533089,17.33982849,58.54622361,Correct-A,Incorrect-B,Incorrect-Neither,Incorrect-Neither,0.09032577
3,Referential ambiguity,WSC273,Anne gave birth to a daughter last month. She is a very charming baby.,10,14,4.071428571,70,2.603219131,7.243219743,17.19723707,25.32628441,25.39908981,15.40996961,6.026435375,47.93280291,12.50930214,31.32754754,Incorrect-A,Incorrect-B,Incorrect-Neither,Correct-A,0.110746517
3,Referential ambiguity,WSC273,Anne gave birth to a daughter last month. She is a very charming woman.,11,14,4.142857143,71,2.603219131,7.243219743,19.06790188,18.47290039,19.2944622,15.02273806,6.247937679,43.19318367,8.878252029,29.39248336,Incorrect-A,Incorrect-B,Correct-A,Incorrect-Neither,0.110746517
3,Referential ambiguity,WSC273,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",12,19,5.157894737,116,2.922245767,8.230644618,14.46651422,31.48594666,31.73148727,28.93835437,4.20472765,51.11490158,10.21955395,39.87872569,Correct-A,Incorrect-B,Incorrect-B,Incorrect-Neither,0.106309596
3,Referential ambiguity,WSC273,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.",13,19,5.368421053,120,2.858561556,8.51538146,18.69819919,39.00468445,38.91513062,29.72916962,4.713425636,58.34342355,10.45230484,47.94337505,Incorrect-A,Incorrect-B,Incorrect-B,Incorrect-Neither,0.106427901
3,Referential ambiguity,WSC273,"As Andrea in the crop duster passed over Susan, she could see the landing gear.",14,15,4.333333333,79,2.944088986,7.487520494,92.61829837,108.9602661,206.8446045,356.841831,4.500328064,235.8782929,11.39472198,137.7510978,Incorrect-A,Correct-B,Incorrect-Neither,Incorrect-Neither,0.163049026
3,Referential ambiguity,WSC273,"As Andrea in the crop duster passed over Susan, she could see the landing strip.",15,15,4.4,80,2.944088986,7.487520494,104.9407235,119.1573715,225.5638885,417.5507881,4.728180408,268.6547724,11.74141502,120.2598969,Incorrect-A,Incorrect-B,Incorrect-B,Incorrect-Neither,0.163049026
3,Referential ambiguity,WSC273,"As Ollie carried Tommy up the long winding steps, his legs ached.",16,12,4.5,65,3.075633479,8.568910378,52.53896076,57.1266861,108.3558807,88.61524881,5.082377434,92.63901353,37.11441803,52.24742216,Incorrect-A,Incorrect-A,Incorrect-A,Incorrect-Neither,0.089830387
3,Referential ambiguity,WSC273,"As Ollie carried Tommy up the long winding steps, his legs dangled.",17,12,4.666666667,67,3.075633479,8.568910378,57.7629111,75.09275818,122.332901,103.9521723,6.12472868,116.3432725,6.011548996,64.9613425,Incorrect-A,Incorrect-B,Incorrect-B,Correct-A,0.089830387
3,Referential ambiguity,WSC273,"Beth didn't get angry with Sally, who had cut her off, because she stopped and apologized.",18,16,4.6875,90,2.656333424,7.186096467,27.08489474,44.74510193,60.95402145,37.19482695,6.547031403,76.2925775,5.616039753,47.02677252,Incorrect-A,Incorrect-B,Correct-B,Incorrect-Neither,0.051313039
3,Referential ambiguity,WSC273,"Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.",19,18,4.277777778,94,2.615977875,7.218297363,20.45487782,42.73447037,58.77474976,31.56166209,5.381306648,71.09131162,4.823377609,44.09650508,Correct-A,Incorrect-A,Correct-B,Incorrect-Neither,0.074769311
3,Referential ambiguity,WSC273,Bill passed the gameboy to John because his turn was next.,20,11,4.363636364,58,2.664097075,7.833915491,219.0669945,148.2929688,412.8800354,550.5125022,29.32515335,606.3300349,14.58932304,139.7564622,Incorrect-A,Incorrect-A,Incorrect-Neither,Incorrect-Neither,0.148573189
3,Referential ambiguity,WSC273,Bill passed the gameboy to John because his turn was over.,21,11,4.363636364,58,2.664097075,7.833915491,214.1553322,161.518631,312.2920837,474.7142532,34.39089203,435.2197011,23.81734848,119.0213153,Incorrect-A,Incorrect-A,Correct-A,Incorrect-Neither,0.148573189
3,Referential ambiguity,WSC273,Bill passed the half-empty plate to John because he was full.,22,11,4.636363636,61,2.70648498,7.820995855,79.82658437,77.87180328,133.4442749,118.1639175,9.612812042,303.9504169,19.43091011,99.61774326,Incorrect-A,Correct-B,Incorrect-Neither,Incorrect-A,0.149060304
3,Referential ambiguity,WSC273,Bill passed the half-empty plate to John because he was hungry.,23,11,4.818181818,63,2.70648498,7.820995855,73.20243067,60.74702072,97.71266937,96.22879064,7.090793133,233.5718598,30.66412926,87.78969412,Correct-A,Correct-B,Correct-B,Incorrect-A,0.149060304
3,Referential ambiguity,WSC273,Billy cried because Toby wouldn't accept his toy.,24,8,5.25,49,2.933133479,8.733439292,45.76126217,166.2675629,338.6696167,56.71416191,30.56570816,387.946485,71.60018158,234.8180142,Incorrect-A,Correct-B,Correct-B,Incorrect-Neither,0.005327678
3,Referential ambiguity,WSC273,Billy cried because Toby wouldn't share his toy.,25,8,5.125,48,2.924383479,8.495939292,34.03129591,144.6621399,311.5476685,60.68162222,27.8449688,445.3284515,320.5102234,139.6984299,Correct-A,Incorrect-A,Correct-A,Incorrect-Neither,0.005738959
