class,subclass,dataset,text,minimalpair,length in words,word length,length in characters,average concreteness,average AoA,Flan-T5-xxl perplexity,GPT2-xl perplexity,GPT2-base perplexity,Flan-T5-base perplexity,XLNet-base-cased perplexity,OPT-125m perplexity,XLNet-large-cased perplexity,OPT-13b perplexity,OPT-13b recognition,Flan-T5-xxl recognition,GPT2-xl recognition,XLNet-large-cased recognition,Average word frequency
3,Referential ambiguity,WSC273,"Adam can't leave work here until Mary arrives to replace him. If Mary had left home for work on time, he would be gone by this time.",0,27,3.925925926,132,2.700607504,7.46152962,28.96709101,30.86860657,31.64258385,36.32107556,3.69829464,48.78764768,4.712783813,33.86440213,Correct-A,Incorrect-B,Correct-A,Correct-A,0.057440663
3,Referential ambiguity,WSC273,"Adam can't leave work here until Mary arrives to replace him. If Mary had left home for work on time, she would be here by this time.",1,27,3.962962963,133,2.719866763,7.183510803,29.5725775,31.18284798,33.24915314,36.48666007,3.575036526,51.14702374,4.346112251,29.80025483,Correct-A,Incorrect-B,Incorrect-B,Incorrect-B,0.057603189
3,Referential ambiguity,WSC273,"Alice tried frantically to stop her son from barking at the party, leaving us to wonder why he was behaving so strangely.",2,22,4.545454545,121,2.622048538,7.085300755,18.04333725,32.92497253,30.33278275,24.52822687,4.321428299,48.00227875,12.15430927,42.9961486,Incorrect-A,Incorrect-B,Incorrect-A,Incorrect-Neither,0.111955026
3,Referential ambiguity,WSC273,"Alice tried frantically to stop her son from chatting at the party, leaving us to wonder why she was behaving so strangely.",3,22,4.636363636,123,2.545684901,7.074159346,23.28716822,33.30433273,33.51893234,28.62132881,3.890779257,51.65896554,24.07446289,48.31226909,Correct-A,Incorrect-A,Incorrect-B,Correct-A,0.110966183
3,Referential ambiguity,WSC273,"Although they ran at about the same speed, Sue beat John because he had such a bad start.",4,18,4.0,89,2.519518599,7.061580471,35.99819917,38.60196304,66.78754425,47.96174753,5.663053036,81.53376175,10.38274765,46.55128994,Incorrect-A,Incorrect-B,Incorrect-Neither,Incorrect-Neither,0.09354658
3,Referential ambiguity,WSC273,"Although they ran at about the same speed, Sue beat John because she had such a good start.",5,18,4.111111111,91,2.48562971,7.090185415,35.66401573,36.28818512,65.23519135,55.53818323,5.356115341,76.71318411,9.987084389,42.35713584,Correct-A,Incorrect-B,Correct-A,Correct-A,0.09298714
3,Referential ambiguity,WSC273,"Tim asked Mary what time the library closes, because he had forgotten.",6,12,4.916666667,70,2.783444565,7.68375345,32.87829237,64.89338684,152.2784271,70.74071437,11.5575161,160.5985045,8.746980667,52.28864536,Incorrect-A,Correct-B,Correct-A,Incorrect-Neither,0.096156764
3,Referential ambiguity,WSC273,"Time asked Mary what time the library closes, but she had forgotten.",7,12,4.75,68,2.804277899,7.676648784,52.14257932,82.99926758,144.1478424,57.7855563,9.245567322,172.4204894,15.64828682,108.4651092,Correct-A,Incorrect-B,Correct-A,Incorrect-Neither,0.096966833
3,Referential ambiguity,WSC273,Anna did a lot better than her good friend Tommy on the test because she had studied so hard.,8,19,3.947368421,93,2.466778993,6.591904284,39.46511767,37.8897171,45.34318924,34.65509397,8.38993454,75.18437484,9.971266747,47.79469974,Incorrect-A,Incorrect-A,Correct-B,Incorrect-A,0.090647443
3,Referential ambiguity,WSC273,Anna did a lot worse than her good friend Tommy on the test because he had studied so hard.,9,19,3.842105263,91,2.48098952,6.919676288,47.94757026,74.10717773,59.39864731,35.00768129,9.883782387,104.9467785,18.32274246,79.12583162,Correct-A,Incorrect-B,Incorrect-Neither,Incorrect-Neither,0.091471578
3,Referential ambiguity,WSC273,Anne gave birth to a son last month. He is a very charming baby.,10,14,3.642857143,64,2.556790559,7.159648315,15.67148372,19.82573128,26.01078606,16.17908021,7.917259216,41.87685732,10.82995224,26.53356233,Incorrect-A,Incorrect-B,Incorrect-Neither,Correct-A,0.110839623
3,Referential ambiguity,WSC273,Anne gave birth to a son last month. She is a very charming woman.,11,14,3.785714286,66,2.556790559,7.159648315,18.03761237,19.68537712,20.89291,15.61809243,5.013624668,42.33841694,8.765629768,29.6487449,Incorrect-A,Incorrect-B,Correct-A,Incorrect-Neither,0.110839623
3,Referential ambiguity,WSC273,"An archaeologist has concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",12,20,4.9,117,3.041446826,8.66711404,16.26760956,34.44713593,31.43582726,31.58191806,5.158020496,46.59775004,11.05547714,35.78936511,Correct-A,Incorrect-B,Incorrect-B,Incorrect-Neither,0.099875869
3,Referential ambiguity,WSC273,"An archaeologist has concluded that humans lived in Laputa 20,000 years ago. He hunted for evidence on the river banks.",13,20,5.0,119,2.980946826,8.93761404,19.21101694,38.89621735,42.52928543,36.44356412,5.354032516,60.68037802,7.481804848,42.48740738,Incorrect-A,Incorrect-B,Incorrect-B,Incorrect-Neither,0.099988259
3,Referential ambiguity,WSC273,"As Andrea in the crop duster passed over Charlie, he could see the landing gear.",14,15,4.4,80,2.982088986,7.503861227,76.84000089,107.9401321,217.4202576,292.2498149,5.277598858,255.2832358,11.30144501,133.0783171,Incorrect-A,Correct-B,Incorrect-Neither,Incorrect-Neither,0.164500384
3,Referential ambiguity,WSC273,"As Andrea in the crop duster passed over Charlie, she could see the landing strip.",15,15,4.533333333,82,2.944088986,7.487520494,116.953559,120.6561127,229.9560394,436.5438782,4.861447811,275.1859083,13.28390121,123.7276538,Incorrect-A,Incorrect-B,Incorrect-B,Incorrect-Neither,0.163049026
3,Referential ambiguity,WSC273,"As Ollie carried Emma up the long winding steps, his legs ached.",16,12,4.416666667,64,3.075633479,8.568910378,48.75572861,55.65416718,112.7321014,99.56569528,5.260586262,84.84709335,56.52228928,51.43564729,Incorrect-A,Incorrect-A,Incorrect-A,Incorrect-Neither,0.089830387
3,Referential ambiguity,WSC273,"As Ollie carried Emma up the long winding steps, her legs dangled.",17,12,4.583333333,66,3.063966812,8.686137378,52.98450709,74.03226471,118.8392181,109.5735123,7.019044399,97.97978116,15.07429886,59.68970074,Incorrect-A,Incorrect-B,Incorrect-B,Correct-A,0.088864294
3,Referential ambiguity,WSC273,"Beth didn't get angry with Dan, who had cut her off, because he stopped and apologized.",18,16,4.5,87,2.691958424,7.201415904,27.37226455,40.9279213,54.19469452,37.5774108,7.205696583,64.86823354,6.432809353,44.10198291,Incorrect-A,Incorrect-B,Correct-B,Incorrect-Neither,0.052673686
3,Referential ambiguity,WSC273,"Beth didn't get angry with Dan, who had cut her off, because she stopped and counted to ten.",19,18,4.166666667,92,2.615977875,7.218297363,23.19196728,44.0498085,57.87895966,38.28360272,5.648544312,62.80808391,5.174592495,42.87009169,Correct-A,Incorrect-A,Correct-B,Incorrect-Neither,0.074769311
3,Referential ambiguity,WSC273,Bill passed the gameboy to his friends because their turn was next.,20,12,4.666666667,67,2.720422319,7.619638117,158.8369567,121.7255936,244.8575592,374.035688,25.58382416,353.0851452,10.2187376,125.8996274,Incorrect-A,Incorrect-A,Incorrect-Neither,Incorrect-Neither,0.139404341
3,Referential ambiguity,WSC273,Bill passed the gameboy to his friends because his turn was over.,21,12,4.5,65,2.703755652,7.488201784,160.9186952,120.8169632,176.306427,286.6015649,24.78021622,265.6609924,9.936613083,89.76500893,Incorrect-A,Incorrect-A,Correct-A,Incorrect-Neither,0.138962488
3,Referential ambiguity,WSC273,Bill passed the half-empty plate to his wife because he was full.,22,12,4.5,65,2.833755652,7.032189361,57.18043072,49.59930801,93.62055206,68.89000096,8.418216705,197.3817283,8.51431942,59.38258873,Incorrect-A,Correct-B,Incorrect-Neither,Incorrect-A,0.139179257
3,Referential ambiguity,WSC273,Bill passed the half-empty plate to his wife because she was hungry.,23,12,4.75,68,2.786255652,7.011763445,74.76427131,44.89134598,67.78826904,66.6543049,8.194999695,155.8503595,12.52776241,68.30222069,Correct-A,Correct-B,Correct-B,Incorrect-A,0.13736506
3,Referential ambiguity,WSC273,Billy cried because Sam wouldn't accept his toy.,24,8,5.125,48,2.933133479,8.733439292,59.72036248,154.9367371,253.613739,73.71590492,35.29267502,316.810449,46.91262817,208.1885653,Incorrect-A,Correct-B,Correct-B,Incorrect-Neither,0.005327678
3,Referential ambiguity,WSC273,Billy cried because Sam wouldn't share their toy.,25,8,5.25,49,2.949383479,8.693093792,67.56486069,219.0654297,359.2908936,120.3808397,30.62326622,534.0199394,59.77868271,208.9676172,Correct-A,Incorrect-A,Correct-A,Incorrect-Neither,0.006401738
3,Referential ambiguity,WSC273,Bob collapsed on the sidewalk. Soon he saw a doctor coming to help. She was very concerned.,26,17,4.411764706,91,2.777286394,7.428151855,28.1721014,40.65887451,41.05235672,30.76836979,6.654927254,68.67422397,10.21460915,48.74389654,Incorrect-A,Incorrect-B,Incorrect-B,Correct-A,0.129508508
3,Referential ambiguity,WSC273,Bob collapsed on the sidewalk. Soon he saw a doctor coming to help. He was very ill.,27,17,4.0,84,2.777286394,7.428151855,20.75426069,38.30122375,38.83757019,22.53280201,6.440986156,55.58621707,8.970553398,44.50298684,Correct-A,Incorrect-B,Incorrect-A,Incorrect-Neither,0.129508508
3,Referential ambiguity,WSC273,"Alice paid for Charlie's college education, but now Charlie acts as though it never happened. She is very hurt.",28,19,4.894736842,111,2.489480824,8.442478141,35.60226121,36.94374084,62.9696579,64.00698964,4.958267689,110.7090252,7.493047714,35.00841579,Incorrect-A,Correct-B,Incorrect-B,Incorrect-Neither,0.041326186
3,Referential ambiguity,WSC273,"Alice paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.",29,19,5.157894737,116,2.489480824,8.442478141,23.76260183,26.3208313,42.62111664,44.38332544,2.934020281,80.69041176,10.61941624,24.78652029,Correct-A,Correct-A,Incorrect-Neither,Incorrect-Neither,0.041326186
3,Referential ambiguity,WSC273,Alice paid for Charlie's college education. She is very generous.,30,10,5.6,65,2.748760174,9.465919347,42.0666368,40.87481308,65.47196198,65.76116287,3.261362314,200.4614555,7.122802734,46.46209761,Correct-A,Correct-B,Incorrect-Neither,Incorrect-A,0.048520588
3,Referential ambiguity,WSC273,Alice paid for Charlie's college education. He is very grateful.,31,10,5.5,64,2.748760174,9.465919347,36.93544389,49.76911545,65.20439911,68.34952731,2.914041519,226.752393,11.39840126,48.21271338,Incorrect-A,Correct-B,Correct-A,Incorrect-Neither,0.048520588
