type,phenomenon,underspecified sentence,control sentence 1,control sentence 2,continuation of control sentence 1,continuation of control sentence 2
2,Conjunction Scopal Ambiguity,Andrei picked up the chair or the bag and the telescope,"Andrei picked up the chair, or both the bag and the telescope","Andrei picked up either the chair or the bag, and the telescope",Andrei can't have picked up both the chair and the telescope,Andrei might've picked up both the chair and the telescope
2,Conjunction Scopal Ambiguity,Danny held the chair or the bag and the telescope,"Danny held the chair, or both the bag and the telescope","Danny held either the chair or the bag, and the telescope",Andrei can't have held both the chair and the telescope,Andrei might've held both the chair and the telescope
2,Conjunction Scopal Ambiguity,Danny moved the chair or the bag and the telescope,"Danny moved the chair, or both the bag and the telescope","Danny moved either the chair or the bag, and the telescope",Danny can't have moved both the chair and the telescope,Andrei might've moved both the chair and the telescope
2,Conjunction Scopal Ambiguity,Andrei held the telescope or the chair and the bag,"Andrei held the bag, and either the telescope or the chair","Andrei held either the bag, or the chair and the telescope",Andrei can't have held both the telescope and the chair,Andrei might've held both the telescope and the chair
2,Conjunction Scopal Ambiguity,Andrei and Danny moved the yellow bag and chair,Andrei and Danny moved the yellow bag and the yellow chair,Andrei and Danny moved the yellow bag and the chair,The chair was yellow,The chair wasn't yellow
2,Conjunction Scopal Ambiguity,Andrei and Danny held the green chair and bag,Andrei and Danny held the green chair and the bag,Andrei and Danny held the green chair and the green bag,The bag wasn't green,The bag was green
2,Conjunction Scopal Ambiguity,Andrei and Danny put down the yellow chair and bag,Andrei and Danny put down the yellow chair and the bag,Andrei and Danny put down the yellow chair and the yellow bag,The bag wasn't yellow,The bag was yellow
2,Conjunction Scopal Ambiguity,Danny held the chair or the telescope and the bag,"Danny held the chair, or both the telescope and the bag","Danny held either the chair or the telescope, and the bag",Danny can't have held both the chair and the telescope,Danny might've held both the chair and the telescope
2,Conjunction Scopal Ambiguity,Danny moved the bag or the chair and the telescope,"Danny moved the bag, or both the chair and the telescope","Danny moved either the bag or the chair, and the telescope",Danny can't have moved both the bag and the chair,Danny might've moved both the bag and the chair
2,Conjunction Scopal Ambiguity,Andrei and Danny picked up the green bag and chair,Andrei and Danny picked up the green bag and the green chair,Andrei and Danny picked up the green bag and the chair,The chair was green,The chair wasn't green
